Firstname,Middlename,Lastname,Sex,House_No,Street,Subdivision,Date_of_Birth,Place_of_Birth,Civil_Status,Occupation,Email,Contact_No,Voter_Status,Citizenship,Household_No,OSY,PWD,Household_Head,Ext
ASDAS,SADSAD,ASDASD,Male,2,AASD,ASDASD,2023-10-31,ASDASD,Divorced,ASDASD,,,,ASDASD,,N/A,,yes,213
KJHKH,LHKH,KJLJ,Female,2,AASD,ASDASD,2023-10-09,ILK,Married,KJB,,,,KJBKB,,N/A,,no,453
YUU,UYUY,YYU,Male,2,AASD,ASDASD,2023-10-04,JGF,Widowed,URY,,,,YTYR,,N/A,,no,123
SJDBV,KSDDB,YUL,Male,213,JVB,SDV,2023-10-11,SDV,Widowed,KJABS,,,,KSJBDVK,,N/A,,no,23
KSDBV,SDJBV,NAKSU,Male,21,DKVBJ,SSDV,2023-10-10,JDBV,Married,JDSBAV,,,,"S,DBV",,N/A,,no,23
SV,SDVB,POW,Female,21,DKVBJ,SSDV,2023-10-03,"S,MV",Widowed,KN,,,,SDV,,N/A,,no,42
SKJDBV,SDJBV,",SDV,",Male,321,CVB,SLDV,2023-10-10,JSKDBV,Single,LKDV,,,,SDNV,,N/A,,no,123
SKDVB,SDV,KLAY,Male,34,AAV,SDVA,2023-10-17,"S,DV",Single,KSDJBV,,,,"S,DBV",,N/A,,no,2134
SDV,SDKBV,BAY,Female,34,AAV,SDVA,2023-10-09,"SA,BCVAS",Married,KJV,,,,KJSABK,,N/A,,yes,234
SDV,KSDJBV,KSJBV,Female,23,SKDVB,SKDVBJ,2023-10-10,SAB,Single,AKSJBC,,,,SA,,N/A,,no,123
SDNV,SKNDV,LKSDV,Male,213,SDKJVB,KAJB,2023-10-03,SDLNV,Divorced,KJSDBDV,,,,SDV,1230000,N/A,,,213
TYSON,MANNY,MKE,Male,009,TIRONA,MENDEZ,2023-10-03,MANILA,Single,BOXER,,,,FILIPINO,001,N/A,,,002
KWU,POO,PART,Female,009,STT,MOON,2023-10-02,DJKB,Single,COOK,,,,INDIAN,099,N/A,,,0234
