Firstname,Middlename,Lastname,Sex,House_No,Street,Subdivision,Date_of_Birth,Place_of_Birth,Civil_Status,Occupation,Email,Contact_No,Voter_Status,Citizenship,Household_No,OSY,PWD
rod,casaclang,homeres,Male,3,sdca,sdcad,9/5/1948,sacas,Single,sacsac,ascas@gmail.com,123123,voter,ascasc,21312,OSY,
slnvlnqksdn,nsdln,sdjbn,Male,,sdv,sdvsdv,9/12/2023,saasc,Married,sdva,sdvsd@gmail.com,234124,voter,sdvsv,234124,OSY,
bob,bee,buu,Male,2,sdvsv,sdvsdv,9/5/2008,sdvsdv,Married,sdvsv,renzvanni999@gmail.com,32423,voter,sdvsv,234,OSY,
jia,shie,park,Female,3,tirona,mendez,10/7/2005,cavite,Single,developer,jia@gmail.com,8923984523,voter,filipino,2134,OSY,
asa,asc,asc,Female,213,sdv,sscac,10/5/2008,ascas,Single,asc,ioashc@gmail.com,231412,voter,asc,123,,PWD
askcb,ajsb,sdva,Female,123,asc,ascasc,10/31/2002,ascas,Single,ln,asnc@gmail.com,124124,voter,jskacn,123,,PWD
lsknvn,nksdv,asdv,Male,123,asc,sdvASC,10/23/1997,ascasc,Divorced,askjbc,askvcba@gmail.com,1234124,non-voter,aslnclnas,,,PWD
yul,shie,park,male,3,tirona,mendez,12/28/2005,dasmarinas,,developer,renzvanni999@gmail.com,,,filipino,,,
lay,way,part,male,23,234,dsvsv,10/17/2001,cavite,widowed,jsdf,,,,filipino,,,
sdlv,sndvl,sldnv,male,123,213,dksjvb,10/11/2023,smdv,single,kjsbdv,dkshv@gmail.com,,,kjsbdv,,,
ASDAS,SADSAD,ASDASD,Male,2,AASD,ASDASD,10/31/2023,ASDASD,Divorced,ASDASD,,,,ASDASD,,N/A,
KJHKH,LHKH,KJLJ,Female,2,AASD,ASDASD,10/9/2023,ILK,Married,KJB,,,,KJBKB,,N/A,
YUU,UYUY,YYU,Male,2,AASD,ASDASD,10/4/2023,JGF,Widowed,URY,,,,YTYR,,N/A,
SJDBV,KSDDB,YUL,Male,213,JVB,SDV,10/11/2023,SDV,Widowed,KJABS,,,,KSJBDVK,,N/A,
KSDBV,SDJBV,NAKSU,Male,21,DKVBJ,SSDV,10/10/2023,JDBV,Married,JDSBAV,,,,"S,DBV",,N/A,
SV,SDVB,POW,Female,21,DKVBJ,SSDV,10/3/2023,"S,MV",Widowed,KN,,,,SDV,,N/A,
SKJDBV,SDJBV,",SDV,",Male,321,CVB,SLDV,10/10/2023,JSKDBV,Single,LKDV,,,,SDNV,,N/A,
SKDVB,SDV,KLAY,Male,34,AAV,SDVA,10/17/2023,"S,DV",Single,KSDJBV,,,,"S,DBV",,N/A,
SDV,SDKBV,BAY,Female,34,AAV,SDVA,10/9/2023,"SA,BCVAS",Married,KJV,,,,KJSABK,,N/A,
SDV,KSDJBV,KSJBV,Female,23,SKDVB,SKDVBJ,10/10/2023,SAB,Single,AKSJBC,,,,SA,,N/A,
SDNV,SKNDV,LKSDV,Male,213,SDKJVB,KAJB,10/3/2023,SDLNV,Divorced,KJSDBDV,,,,SDV,1230000,N/A,
TYSON,MANNY,MKE,Male,9,TIRONA,MENDEZ,10/3/2023,MANILA,Single,BOXER,,,,FILIPINO,1,N/A,
KWU,POO,PART,Female,9,STT,MOON,10/2/2023,DJKB,Single,COOK,,,,INDIAN,99,N/A,
as,SADSAD,sad,Male,98,SDV,SDV,9/5/1948,JKBJKB,Single,svbjs,,,,DFKBJV,987,,
